"Elem_name"	"ion_state"	"Wl"	"Ei"	"Ek"	"Ak"	"gi"	"gk"
"Fe"	"II"	159.911	5.48413599	13.2374489	2200000	10	8
"Fe"	"II"	160.001	2.57958587	10.328532	5.6e+07	10	8
"Fe"	"II"	160.027	5.48413599	13.2318648	1.4e+07	10	10
"Fe"	"II"	160.055	5.22157443	12.9679155	8e+07	10	12
"Fe"	"II"	160.081	5.23672772	12.9818165	1.1e+07	8	8
"Fe"	"II"	160.246	5.24885175	12.985988	4200000	6	6
"Fe"	"II"	160.252	0.30129858	8.0381375	2200000	8	10
"Fe"	"II"	160.26	5.20337749	12.9398343	1.14e+08	12	14
"Fe"	"II"	160.458	2.02954815	9.7564232	3600000	8	6
"Fe"	"II"	160.462	5.5107139	13.2374489	4300000	8	8
"Fe"	"II"	160.522	5.22157443	12.9453973	2.1e+07	10	10
"Fe"	"II"	160.532	1.96448604	9.6878034	3.2e+07	10	8
"Fe"	"II"	160.578	5.5107139	13.2318648	4300000	8	10
"Fe"	"II"	160.601	5.22157443	12.9415873	4e+06	10	8
"Fe"	"II"	160.633	5.24885175	12.9673497	5e+06	6	4
"Fe"	"II"	160.845	0	7.708299	1.91e+08	10	8
"Fe"	"II"	160.854	0.23217279	7.9400585	2100000	10	8
"Fe"	"II"	160.91	5.54876624	13.2539571	5e+06	8	8
"Fe"	"II"	160.917	5.23672772	12.9415873	1.1e+07	8	8
"Fe"	"II"	161.032	3.89161339	11.5909917	8e+06	6	8
"Fe"	"II"	161.077	5.55260578	13.2497908	1e+07	6	6
"Fe"	"II"	161.092	0.23217279	7.9286411	1.9e+07	10	10
"Fe"	"II"	161.12	0	7.6951447	4400000	10	8
"Fe"	"II"	161.21	3.88869686	11.579555	1.2e+07	4	6
"Fe"	"II"	161.255	5.54876624	13.2374489	5e+06	8	8
"Fe"	"II"	161.281	0.23217279	7.919655	6.6e+07	10	12
"Fe"	"II"	161.336	5.20337749	12.8882321	9e+06	12	10
"Fe"	"II"	161.336	5.55260578	13.2374489	2600000	6	8
"Fe"	"II"	161.372	5.20337749	12.8864963	3.2e+07	12	12
"Fe"	"II"	161.395	3.8891925	11.5712658	1.5e+07	2	4
"Fe"	"II"	161.719	5.22157443	12.8882321	6800000	10	10
"Fe"	"II"	161.847	5.5891955	13.2497908	8e+06	6	6
"Fe"	"II"	161.847	0.04770753	7.708299	55300000	8	8
"Fe"	"II"	161.896	5.28894824	12.9472309	5e+06	8	6
"Fe"	"II"	161.896	2.02954815	9.6878034	2300000	8	8
"Fe"	"II"	161.934	5.28894824	12.9453973	2.4e+07	8	10
"Fe"	"II"	162.015	5.28894824	12.9415873	1.7e+07	8	8
"Fe"	"II"	162.107	5.5891955	13.2374489	4400000	6	8
"Fe"	"II"	162.125	0.04770753	7.6951447	1100000	8	8
"Fe"	"II"	162.169	0.04770753	7.6931007	1.32e+08	8	6
"Fe"	"II"	162.232	5.604888	13.2472961	8e+06	2	4
"Fe"	"II"	162.246	5.36090398	13.0026236	2.6e+07	6	8
"Fe"	"II"	162.309	0.30129858	7.9400585	2e+07	8	8
"Fe"	"II"	162.365	5.36090398	12.9970358	9e+06	6	6
"Fe"	"II"	162.399	5.61522263	13.2497908	6e+06	4	6
"Fe"	"II"	162.452	5.61522263	13.2472961	1.4e+07	4	4
"Fe"	"II"	162.552	0.30129858	7.9286411	4e+07	8	10
"Fe"	"II"	162.591	0.08278213	7.708299	10200000	6	8
"Fe"	"II"	162.689	5.36090398	12.9818165	1.3e+07	6	8
"Fe"	"II"	162.702	5.28894824	12.909265	1.6e+07	8	6
"Fe"	"II"	162.888	5.36090398	12.9725199	1.3e+07	6	4
"Fe"	"II"	162.916	0.08278213	7.6931007	86600000	6	6
"Fe"	"II"	162.937	2.02954815	9.6388708	5.9e+07	8	6
"Fe"	"II"	163.019	5.28894824	12.8944571	1.6e+07	8	8
"Fe"	"II"	163.113	0.08278213	7.6839121	69300000	6	4
"Fe"	"II"	163.152	5.28894824	12.8882321	8e+06	8	10
"Fe"	"II"	163.267	0.35186476	7.9458259	1.9e+07	6	6
"Fe"	"II"	163.286	5.40831276	13.0013649	3.1e+07	4	4
"Fe"	"II"	163.359	3.89161339	11.4812729	7e+06	6	8
"Fe"	"II"	163.391	0.35186476	7.9400585	3.9e+07	6	8
"Fe"	"II"	163.435	0.10695023	7.6931007	32100000	4	6
